CNPJ_CIA;DENOM_CIA;TICKER
04.821.041/0001-08;METALFRIO SOLUTIONS SA;FRIO3.SA
04.972.092/0001-22;GRUPO FARTURA DE HORTIFRUT SA;NAO_ENCONTRADO
04.986.320/0001-13;SER EDUCACIONAL SA;SEER3.SA
05.197.443/0001-38;HAPVIDA PARTICIPAÇÕES E INVESTIMENTOS SA;HAPV3.SA
05.303.439/0001-07;UNIGEL PARTICIPAÇÕES SA;NAO_ENCONTRADO
05.341.549/0001-63;;NOME_AUSENTE
05.347.060/0001-07;INTERPLAYERS SOLUÇÕES INTEGRADAS SA;NAO_ENCONTRADO
05.711.813/0001-03;;NOME_AUSENTE
05.721.735/0001-28;;NOME_AUSENTE
05.730.375/0001-20;;NOME_AUSENTE
05.799.312/0001-20;;NOME_AUSENTE
05.878.397/0001-32;ALLOS SA;ALOS3.SA
05.917.486/0001-40;LIVETECH DA BAHIA INDÚSTRIA E COMÉRCIO SA;NAO_ENCONTRADO
06.047.087/0001-39;REDE D'OR SÃO LUIZ SA;RDOR3.SA
06.082.980/0001-03;;NOME_AUSENTE
06.164.253/0001-87;GOL LINHAS AEREAS INTELIGENTES SA;GOLL4.SA
06.347.409/0001-65;SBF COMÉRCIO DE PRODUTOS ESPORTIVOS SA;NAO_ENCONTRADO
06.948.969/0001-75;;NOME_AUSENTE
06.977.739/0001-34;;NOME_AUSENTE
06.977.745/0001-91;BR MALLS PARTICIPACOES SA;NAO_ENCONTRADO
06.977.751/0001-49;;NOME_AUSENTE
06.981.176/0001-58;CEMIG GERACAO E TRANSMISSAO SA;NAO_ENCONTRADO
06.981.381/0001-13;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA SA;CTCA3.SA
07.043.628/0001-13;CLARO TELECOM PARTICIPAÇÕES SA;NAO_ENCONTRADO
07.206.816/0001-15;M.DIAS BRANCO SA IND COM DE ALIMENTOS;MDIA3.SA
07.401.436/0001-31;ELDORADO BRASIL CELULOSE SA;NAO_ENCONTRADO
07.415.333/0001-20;SIMPAR SA;SIMH3.SA
07.437.016/0001-05;;NOME_AUSENTE
07.526.557/0001-00;AMBEV SA;ABEV3.SA
07.594.978/0001-78;SMARTFIT ESCOLA DE GINÁSTICA E DANÇA SA;SMFT3.SA
07.628.528/0001-59;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;AGRO3.SA
07.689.002/0001-89;EMBRAER SA;EMBR3.SA
07.700.557/0001-84;;NOME_AUSENTE
07.704.246/0001-93;DATORA PARTICIPAÇÕES E SERVIÇOS SA;NAO_ENCONTRADO
07.718.269/0001-57;SPRINGS GLOBAL PARTICIPACOES SA;SGPS3.SA
07.802.794/0001-56;ESSENTIA PCHS SA;NAO_ENCONTRADO
07.816.890/0001-53;MULTIPLAN - EMPREEND IMOBILIARIOS SA;MULT3.SA
07.820.907/0001-46;FICA EMPREENDIMENTOS IMOBILIÁRIOS SA;NAO_ENCONTRADO
07.857.093/0001-14;AURA MINERALS INC.;AURA33.SA
07.857.850/0001-50;GP INVESTMENTS, LTD.;GPIV33.SA
07.859.510/0001-68;;NOME_AUSENTE
07.859.971/0001-30;TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA SA;TAEE11.SA
07.882.930/0001-65;MITRE REALTY EMPREENDIMENTOS E PARTICIPAÇÕES SA;MTRE3.SA
07.950.674/0001-04;;NOME_AUSENTE
